,CO_CNES,CO_UNIDADE,CO_UF,CO_IBGE,NU_CNPJ_MANTENEDORA,NO_RAZAO_SOCIAL,NO_FANTASIA,CO_NATUREZA_ORGANIZACAO,DS_NATUREZA_ORGANIZACAO,TP_GESTAO,CO_NIVEL_HIERARQUIA,DS_NIVEL_HIERARQUIA,CO_ESFERA_ADMINISTRATIVA,DS_ESFERA_ADMINISTRATIVA,CO_ATIVIDADE,TP_UNIDADE,CO_CEP,NO_LOGRADOURO,NU_ENDERECO,NO_BAIRRO,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE,CO_TURNO_ATENDIMENTO,DS_TURNO_ATENDIMENTO,NU_CNPJ,NO_EMAIL,CO_NATUREZA_JUR,ST_CENTRO_CIRURGICO,ST_CENTRO_OBSTETRICO,ST_CENTRO_NEONATAL,ST_ATEND_HOSPITALAR,ST_SERVICO_APOIO,ST_ATEND_AMBULATORIAL,CO_MOTIVO_DESAB,CO_AMBULATORIAL_SUS
140,2003,2611600002003,26,261160,,CENTRO DIAGNOSTICO MULTIMAGEM LTDA,MULTIMAGEM,,,E,,,,,4,39,50070460,RUA SENADOR JOSE HENRIQUE,141,ILHA DO LEITE,(81) 21021777,"-8,06547","-34,89521",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,41043092000174.0,multimagem@multimagem-pe.com.br,2062,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
141,2011,2611600002011,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 171 USF MAIS JOAQUIM COSTA CARVALHO,,,M,,,,,3,2,52130110,RUA SIRIJI,S/N,ALTO DO MANDU,(81) 3355-4412/4413,"-8,0234926","-34,9288551",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
142,2038,2611600002038,26,261160,,DAVITA BRASIL PARTICIPACOES E SERVICOS DE NEFROLOGIA LTDA,DAVITA RECIFE,,,E,,,,,4,36,50110005,DOUTOR JAYME DA FONTE,100,SANTO AMARO,21 39527956,"-8,041908","-34,873617",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",23097104003691.0,JURIDICODAVITA@DAVITA.COM,2062,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
143,2046,2611600002046,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 168 CTA CENTRO DE TESTAGEM E ACONSELHAMENTO,,,M,,,,,4,36,50060220,LARGO DA SANTA CRUZ,S/N,BOA VISTA,(81) 3355-1514/1505,"-8,0623739858","-34,8901748657",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,distsanitario1@recifw.pe.gov.b,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
144,2054,2611600002054,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 319 CAPS ESPACO AZUL,,,M,,,,,3,70,52070660,AV NORTE MIGUEL ARRAES DE ALENCAR,5035,CASA AMARELA,(81) 33556876/4280,"-8,0245764","-34,9106482",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,capsespacoazul@yahoo.com.br,1244,"0,0","0,0","0,0","0,0","1,0","1,0",,SIM
145,2062,2611600002062,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 172 USF MAIS TRES CARNEIROS,,,M,,,,,4,2,51330240,RUA IBITIARA,154,COHAB,(81) 33556689,"-8,1253569","-34,958219",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
146,2070,2611600002070,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 173 USF MAIS DANCING DAYS,,,M,,,,,4,2,51180340,RUA DANCING DAYS,109,IMBIRIBEIRA,(81) 3355-6118/ 6119,"-8,1038746","-34,9203021",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,distsanitario6@recife.pe.gov.b,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
147,2097,2611600002097,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 183 USF SITIO DOS MACACOS,,,M,,,,,4,2,52171215,ESTRADA DOS MACACOS,47,GUABIRABA,(81) 33550214,"-7,9942","-34,9395",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
148,2100,2611600002100,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 187 USF ILHA DE DEUS,,,M,,,,,4,2,51150192,RUA SAO JOSE,S/N,IMBIRIBEIRA,(81) 3355-6936,"-8,1141136","-34,962268",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,distsantario6@recife.pe.gov.b,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
149,2119,2611600002119,26,261160,,CENTRO DE TRATAMENTO NEFROLOGICO LTDA,NEFROCENTRO,,,E,,,,,4,36,52060590,AV 17 DE AGOSTO,387,CASA FORTE,(81)34427597,"-8,0357099002","-34,9130916595",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",41249335000125.0,nefrocentro_financeiro@hotmail.com,2062,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
150,2127,2611600002127,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 216 USF APIPUCOS,,,M,,,,,3,2,52071390,RUA CORONEL JOAO BATISTA DO REGO BARROS,56,APIPUCOS,(81) 33554632,"-8,0207669","-34,9341414",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","0,0","0,0",,SIM
151,2135,2611600002135,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 221 USF ILHA DE JOANEIRO,,,M,,,,,4,2,52031440,RUA MARECHAL DEODORO,688,CAMPO GRANDE,(81) 33556150,"-8,0356459","-34,8827333",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
152,2143,2611600002143,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 123 CS PROF CESAR MONTEZUMA,,,M,,,,,4,2,50030230,AVENIDA CAIS DO APOLO,925,RECIFE,(81) 3355-9363,"-8,0533772","-34,8715727",1.0,ATENDIMENTO SOMENTE PELA MANHA,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
153,2178,2611100002178,26,261110,,CESAR LAMARK DE SIQUEIRA ALENCAR JUNIOR,CESAR LAMARK DE SIQUEIRA ALENCAR JUNIOR,,,M,,,,,4,36,56332710,AV JOAO PERNAMBUCO,61,CIDADE UNIVERSITARIO,,"-9,393","-40,508",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,33300202000108.0,cesarlamarck@hotmail.com,2062,"0,0","0,0","0,0","0,0","0,0","0,0",,NAO
154,2186,2800300002186,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,CEMAR SIQUEIRA CAMPOS,,,M,,,,,4,36,49075000,RUA BAHIA,S/N,SIQUEIRA CAMPOS,7937110900,"-10,9160359819","-37,0708751678",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,saude@aracaju.se.gov.br,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
155,2208,2800300002208,28,280030,13128798001680.0,SECRETARIA DE ESTADO DA SAUDE DE SERGIPE,CENTRO DE ATENCAO INTEGRAL A SAUDE DA MULHER CAISM,,,E,,,,,3,36,49035190,RUA VARIANTE 2,S/N,CAPUCHO,3218-9400,"-10,907215","-37,048212",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,caism.saude@saude.se.gov.br,1236,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
156,2216,2800300002216,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US OSVALDO LEITE TERRA DURA,,,M,,,,,4,2,49043800,AV AZUL,S/N,SANTA MARIA,3179-3008,"-11,0047145","-37,1071635",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
157,2232,2800300002232,28,280030,,ASSOCIACAO ARACAJUANA DE BENEFICENCIA,HOSPITAL SANTA ISABEL,,,E,,,,,3,5,49072720,SIMEAO SOBRAL,1312,DEZOITO DO FORTE,79 32124900,"-10,5921128","-36,9416223",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",13025507000141.0,dirclin.hsi2023@gmail.com,3999,"1,0","1,0","1,0","1,0","1,0","1,0",,SIM
158,2240,2800300002240,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,CEMAR OFTALMOLOGIA,,,M,,,,,4,36,49031190,RUA BAHIA,S/N,SIQUEIRA CAMPOS,(79)37110920/0942,"-10,9150972868","-37,0708775254",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,saude@aracaju.se.gov.br,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
159,2259,2800300002259,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US MARIA DO CEU SANTOS PEREIRA,,,M,,,,,4,2,49010160,RUA MARUIM,198,CENTRO,3179-1374,"-10,9145955679","-37,049687318",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
160,2275,2800300002275,28,280030,,HOSPITAL SAO JOSE,HOSPITAL SAO JOSE,,,M,,,,,4,5,49065000,JOAO RIBEIRO,846,SANTO ANTONIO,79 2105-1000,"-10,9024875208","-37,0545835045",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",13016621000105.0,,3999,"1,0","0,0","0,0","1,0","1,0","1,0",,SIM
161,2283,2800300002283,28,280030,,FUNDACAO DE BENEFICENCIA HOSPITAL DE CIRURGIA,HOSPITAL DE CIRURGIA,,,E,,,,,4,5,49055210,AV DESEMBARGADOR MAYNARD,174,CIRURGIA,7921067312,"-10,9184800236","-37,0705854893",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",13016332000106.0,direcao@fbhc.org.br,3999,"1,0","0,0","0,0","1,0","1,0","1,0",,SIM
162,2291,2800300002291,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US GERALDO MAGELA DE MENEZES SAO CONRADO,,,M,,,,,4,2,49042256,CENTRAL IV,S/N,SAO CONRADO,31791704,"-10,9703479518","-37,0901870728",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
163,2305,2800300002305,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US ADEL NUNES BAIRRO AMERICA,,,M,,,,,4,2,49080300,R HAITI,S/N,AMERICA,(79)3179-6888,"-10,9141226","-37,0870502",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,saude@aracaju.se.gov.br,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
164,2356,2800300002356,28,280030,,INSTITUTO CLINICO AVANCADO DE SERGIPE LTDA,ICASE,,,M,,,,,4,4,49015160,RUA RIACHUELO,965,SAO JOSE,(79) 2145454,"-10,9206570949","-37,0543738622",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,13173117000119.0,icase@uol.com.br,2062,"0,0","0,0","0,0","0,0","1,0","0,0",,NAO
165,2364,2800300002364,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US CANDIDA ALVES SANTO ANTONIO,,,M,,,,,4,2,49061100,RUA SAO JOAO,S/N,SANTO ANTONIO,(79) 3179-2413,"-10,7399223","-37,0807068",1.0,ATENDIMENTO SOMENTE PELA MANHA,,saude@aracaju.se.gov.br,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
166,2372,2800300002372,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,HOSPITAL MUNICIPAL ZONA SUL DES FERNANDO FRANCO,,,M,,,,,4,5,49030290,AV TARCISIO DANIEL,1,FAROLANDIA,(79) 32120503,"-10,9748117695","-37,0745319622",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,,1244,"1,0","0,0","0,0","1,0","1,0","1,0",,SIM
167,2380,2800300002380,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US HUGO GURGEL COROA DO MEIO,,,M,,,,,4,2,49035710,RUA RENATO FONSECA OLIVEIRA,S/N,COROA DO MEIO,(79)3179-3300,"-10,9647865942","-37,0551681519",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,saude@aracju.se.gov.br,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
168,2399,2800300002399,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US MANOEL DE SOUZA PEREIRA SOL NASCENTE,,,M,,,,,4,2,49095240,RUA MARIA DO CARMO COSTA,S/N,JABOTIANA,(79)3179-2902,"-10,9420193","-37,0853954",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,saude@aracaju.se.gov.br,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
169,2410,2800300002410,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US DONA SINHAZINHA GRAGERU,,,M,,,,,4,2,49026020,AV HERMES FONTES,S/N,GRAGERU,(79)3179-1540,"-10,9251799658","-37,0572924614",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,saude@aracaju.se.gov.br,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
170,2429,2800300002429,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US JOSE MACHADO DE SOUZA SANTOS DUMONT,,,M,,,,,4,2,49087400,RUA MAJOR AURELIANO,100,SANTOS DUMONT,(79)3245-1578,"-10,8948896","-37,0801886",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,"saude@aracaju.se,gov.br",1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
171,2437,2800300002437,28,280030,,CENTRO DE EXAMES E TERAPIA OCULAR LTDA,CENTRO DE EXAMES E TERAPIA OCULAR,,,M,,,,,4,36,49026010,MINISTRO GERALDO BARRETO SOBRAL,2131,JARDINS,79 40099864,"-10,9493938529","-37,0648680622",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,597743000190.0,,2062,"0,0","0,0","0,0","0,0","1,0","0,0",,NAO
172,2445,2800300002445,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US HUMBERTO MOURAO GUIMARAES SAO CONRADO,,,M,,,,,4,2,49042163,RUA A,S/N,SAO CONRADO,37111708 981364575,"-10,9250398","-37,1146442",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,saude@aracaju.se.gov.br,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
173,2453,2800300002453,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US ANTONIO ALVES ATALAIA,,,M,,,,,4,2,49037220,RUA FIRMINO FONTES,S/N,ATALAIA,(79)3179-2700,"-10,9808805","-37,0535561",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,saude@aracaju.se.gov.br,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
174,2461,2800300002461,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US FERNANDO SAMPAIO CASTELO BRANCO,,,M,,,,,4,2,49097000,AV SAO JOAO BATISTA,986,PONTO NOVO,(79)3179-1095,"-10,931753347","-37,0787501335",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
175,2488,2800300002488,28,280030,,LACLISE LABORATORIO CLINICO SERGIPANO LTDA,LACLISE,,,M,,,,,4,4,49072050,RUA BAHIA,975,SIQUEIRA CAMPOS,,"-10,9129396322","-37,0702198468",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,13075676000196.0,,2062,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
176,2496,2800300002496,28,280030,,LABORATORIO DE ANALISES CLINICAS DE ARACAJU LTDA,LABORATORIO BIO EXAME,,,M,,,,,4,39,49010000,RUA SAO CRISTOVAO,167,CENTRO,(79)2144414,"-10,9104865","-37,0637235",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,13036355000182.0,bioexame @ infonet.com.br,2062,,,,,"1,0","0,0",,SIM
177,2526,2800300002526,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US FRANCISCO FONSECA DEZOITO DO FORTE,,,M,,,,,4,2,49060020,AV ALVARO MARCIEL,296,DEZOITE DE FORTE,31792434 981386426,"-10,8826180175","-37,0657253265",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
178,2534,2800300002534,28,280030,,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES EBSERH,HOSPITAL UNIVERSITARIO DE SERGIPE HUSE,,,M,,,,,1,5,49060025,CLAUDIO BATISTA,505,PALESTINA,61 32558365,"-10,8956986","-37,0597128096",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",15126437001034.0,afonso.sousa@mec.gov.br,2011,"1,0","0,0","0,0","1,0","1,0","1,0",,SIM
179,2542,2800300002542,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US JOAO CARDOSO NASCIMENTO JUNIOR JOSE CONRADO DE ARAUJO,,,M,,,,,4,2,49075030,RUA ALAGOAS,2051,JOSE CONRADO DE ARAU,(79) 3179-2261,"-10,9050158","-37,0850790998",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
180,2550,2800300002550,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US ELIZABETE PITA TERRA DURA,,,M,,,,,4,2,49044340,RUA B,14,TERRA DURA,3179-2708,"-10,9863784007","-37,0957875252",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
181,2569,2800300002569,28,280030,13128798001680.0,SECRETARIA DE ESTADO DA SAUDE DE SERGIPE,BANCO DE LEITE HUMANO MARLY SARNEY,,,E,,,,,4,36,49085220,RUA MATO GROSSO,S/N,JOSE CONRADO DE ARAU,(79)32266301,"-10,907215","-37,048212",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1236,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
182,2577,2800300002577,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US EDEZIO VIEIRA DE MELO SIQUEIRA CAMPOS,,,M,,,,,4,2,49075420,RUA PARAIBA,S/N,SIQUEIRA CAMPOS,3179-2214,"-10,9083455471","-37,0740509033",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
183,2585,2800300002585,28,280030,,SAO LUCAS MEDICO HOSPITALAR S A,HOSPITAL SAO LUCAS,,,M,,,,,4,5,49015400,STANLEY SILVEIRA,33,SAO JOSE,,"-10,9238671","-37,0549436",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",13131370000100.0,,2054,"1,0","0,0","0,0","1,0","1,0","1,0",,NAO
184,2593,2800300002593,28,280030,,CLINICA SANTA HELENA LTDA,CLINICA SANTA HELENA SUISSA,,,M,,,,,4,7,49015240,RUA FREI PAULO,331,BAIRRO SAO JOSE,32161400,"-10,9220312408","-37,0580151603",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",13086053000119.0,,2062,"1,0","1,0","1,0","1,0","1,0","1,0",,NAO
185,2607,2800300002607,28,280030,13128780000878.0,SECRETARIA MUNICIPAL SAUDE DE ARACAJU,US AUGUSTO CESAR LEITE SANTA TEREZA,,,M,,,,,4,2,49037190,RUA ELENITA NERY GOMES,S/N,AEROPORTO,(79)3179-2701,"-10,9918472","-37,0780662",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,saude@aracaju.se.gov.be,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
186,2615,2800300002615,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US MINISTRO COSTA CAVALVANTE INACIO BARBOSA,,,M,,,,,4,2,49040490,AV TRANCREDO NEVES,S/N,INACIO BARBOSA,3179-1443,"-10,9438884373","-37,0754241943",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
187,2623,2800300002623,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US WALTER CARDOSO VENEZA,,,M,,,,,4,2,49092520,RUA B,372,VENEZA,31793210 9981382087,"-10,894254","-37,0652271",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","0,0","0,0",,SIM
188,2631,2800300002631,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US MADRE TEREZA DE CALCUTA JABOTIANA,,,M,,,,,4,2,49095000,LARGO DA APARECIDA,S/N,JABOTIANA,(79)3179-3590,"-10,9347682","-37,0847379",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
189,2666,2800300002666,28,280030,,ARISTOTELES PRIMO DE CARVALHO,CENTRO DE REC MOTORA DE SERGIPE,,,M,,,,,4,36,49035190,AV DESEMBARGADOR MAYNARD,268,CIRURGIA,(79) 2144155,"-10,9184671","-37,0722192",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,5422281000194.0,,2062,"0,0","0,0","0,0","0,0","0,0","0,0",,NAO
190,2674,2800300002674,28,280030,,CLIF CLINICA FISIOTERAPICA LTDA,CLIF CLINICA FISIOTERAPICA LTDA,,,M,,,,,4,36,49010310,SANTA LUZIA,49,CENTRO,,"-10,9141010505","-37,0515536045",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,13088752000106.0,,2062,"0,0","0,0","0,0","0,0","0,0","0,0",,SIM
191,2682,2800300002682,28,280030,,LABORATORIO DE ANALISES MEDICAS LTDA,LAMED,,,M,,,,,4,4,49095100,AV FARMACEUTICA CEZARTINA REGIS,44,JABOTIANA,(79)2471152,"-10,941699181","-37,0806340775",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,13037403000157.0,,2062,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
192,2690,2800300002690,28,280030,,GASTROCLINICA DE SERGIPE LTDA,GASTROCLINICA,,,M,,,,,4,4,49015090,DOM JOSE TOMAS,45,SAO JOSE,,"-10,9187310625","-37,049030091",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,13181219000186.0,,2062,"0,0","0,0","0,0","0,0","0,0","0,0",,NAO
193,2704,2800300002704,28,280030,,CLIMEDI CLINICA DE MEDICINA NUCLEAR ENDOCRINOLOGIA E DIABE,CLIMEDI,,,M,,,,,4,4,49015040,BARAO DE MAROIM,570,CENTRO,,"-10,914142","-37,055453",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,13158985000120.0,,2232,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
194,2712,2800300002712,28,280030,,LAPEME LABORATORIO DE PESQUISAS MEDICAS LTDA,LAPEME,,,M,,,,,4,4,49090250,RUA RADIALISTA JOSE DA SILVA LIMA,594,JARDIM CENTENARIO,(79)252 1303,"-10,8968227","-37,0963159",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,13157300000120.0,laboratoriolapeme@bol.com.br,2062,,,,,"1,0","0,0",4.0,NAO
195,2720,2800300002720,28,280030,,LACLIN LABORATORIO CLINICO LTDA,LACLIN,,,M,,,,,4,4,49015090,DOM JOSE THOMAZ,565,SAO JOSE,,"-10,9210155","-37,0491521",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,13355995000155.0,,2062,"0,0","0,0","0,0","0,0","1,0","0,0",4.0,NAO
196,2739,2800300002739,28,280030,,LABORATORIO CLINICO DE SERGIPE LTDA,LABOHEF,,,M,,,,,4,36,49010380,RUA SAO CRISTOVAO,27,CENTRO,79 32143206,"-10,9104497","-37,0654362",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,13075262000167.0,marcioporto63@hotmail.com,2062,"0,0","0,0","0,0","0,0","0,0","0,0",,SIM
197,2747,2800300002747,28,280030,,CLINICA SANTA SOPHIA LTDA,CLINICA SANTA SOPHIA,,,M,,,,,4,4,49015150,BARAO DE MARUIM,820,CENTRO,079 2591077,"-10,9182554","-37,0544946",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,13032784000181.0,,2062,"0,0","0,0","0,0","0,0","1,0","0,0",,NAO
198,2755,2800300002755,28,280030,,GINOCHECKUP LTDA,GINOCHECKUP,,,M,,,,,4,36,49065390,RUA SANTA LUZIA,200,CENTRO,(79)2140502,"-10,7383889","-37,0782735",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,3756676000106.0,,2062,"0,0","0,0","0,0","0,0","1,0","0,0",,NAO
199,2763,2800300002763,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US DONA JOVEM AZEVEDO INDUSTRIAL,,,M,,,,,4,2,49050050,RUA ALTAMIRA,S/N,INDUSTRIAL,(79)3179-5400,"-10,8686259","-37,0573087",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,saude@aracaju.se.gov.br,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
200,2771,2800300002771,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US JOSE QUINTILIANO DA FONSECA SOBRAL CIDADE NOVA,,,M,,,,,4,2,49015250,SANTA TEREZINHA,S/N,CIDADE NOVA,(79)3179-3498,"-10,8927681","-37,0648644",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,saude@aracaju.se.gov.br,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM
201,2798,2800300002798,28,280030,13128780000878.0,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US JOSE AUGUSTO BARRETO JAPAOZINHO,,,M,,,,,4,2,49015150,AV EUCLIDES FIGUEIREDO,S/N,JAPAOZINHO,(79)3179-5405,"-10,8774202","-37,0775693",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,saude@aracaju.se.gov.br,1244,"0,0","0,0","0,0","0,0","0,0","0,0",,SIM
