CO_CNES,CO_UNIDADE,CO_UF,CO_IBGE,NU_CNPJ_MANTENEDORA,NO_RAZAO_SOCIAL,NO_FANTASIA,CO_NATUREZA_ORGANIZACAO,DS_NATUREZA_ORGANIZACAO,TP_GESTAO,CO_NIVEL_HIERARQUIA,DS_NIVEL_HIERARQUIA,CO_ESFERA_ADMINISTRATIVA,DS_ESFERA_ADMINISTRATIVA,CO_ATIVIDADE,TP_UNIDADE,CO_CEP,NO_LOGRADOURO,NU_ENDERECO,NO_BAIRRO,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE,CO_TURNO_ATENDIMENTO,DS_TURNO_ATENDIMENTO,NU_CNPJ,NO_EMAIL,CO_NATUREZA_JUR,ST_CENTRO_CIRURGICO,ST_CENTRO_OBSTETRICO,ST_CENTRO_NEONATAL,ST_ATEND_HOSPITALAR,ST_SERVICO_APOIO,ST_ATEND_AMBULATORIAL,CO_MOTIVO_DESAB,CO_AMBULATORIAL_SUS,LOGRADOURO_ATUALIZADO,COMPLEMENTO,UNIDADE,BAIRRO_ATUALIZADO,CIDADE,UF,ESTADO,REGIAO,DDD
531,2611600000531,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 159 POLICLINICA AGAMENON MAGALHAES,,,M,,,,,4,4,50770100,PRACA DA PAZ,S/N,AFOGADOS,3355-2339/2340/2300,"-8,0807531","-34,9063223",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,grupogestorpamsecretaria@gmail.com,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,PRAÇA DA PAZ,,,AFOGADOS,RECIFE,PE,PERNAMBUCO,NORDESTE,81
558,2611600000558,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 217 CENTRO MEDICO SEN JOSE ERMIRIO DE MORAES,,,M,,,,,4,36,52061105,AV 17 DE AGOSTO,2388,MONTEIRO,33552603,"-8,0287438","-34,925607533",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,cmemdp@yahoo.com.br,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,AVENIDA DEZESSETE DE AGOSTO,DE 2269/2270 AO FIM,,MONTEIRO,RECIFE,PE,PERNAMBUCO,NORDESTE,81
566,2611600000566,26,261160,,FUNDACAO MANOEL DA SILVA ALMEIDA,HOSPITAL MARIA LUCINDA,,,D,,,,,4,5,52060000,AV PARNAMIRIM,095,PARNAMIRIM,(81)32674200/4201,"-8,053833171","-34,8812699318",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",9767633000102.0,secretaria@hospitalmarialucinda.org,3069,"1,0","0,0","0,0","1,0","1,0","1,0",,SIM,AVENIDA PARNAMIRIM,,,PARNAMIRIM,RECIFE,PE,PERNAMBUCO,NORDESTE,81
582,2611600000582,26,261160,,SOCIEDADE PERNAMBUCANA DO COMBATE AO CANCER,HOSPITAL DE CANCER DE PERNAMBUCO,,,E,,,,,3,7,50040000,AVENIDA CRUZ CABUGA,1597,SANTO AMARO,(81)32178000,"-8,041297818","-34,8733735085",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",10894988000133.0,hcp@hosp.org.br,3999,"1,0","0,0","0,0","1,0","1,0","1,0",,SIM,AVENIDA CRUZ CABUGÁ,,,SANTO AMARO,RECIFE,PE,PERNAMBUCO,NORDESTE,81
590,2611600000590,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 128 POLICLINICA LESSA DE ANDRADE,,,M,,,,,3,4,50720715,ESTRADA DOS REMEDIOS,2416,MADALENA,33557810/7812/7822,"-8,0588024","-34,9068717259",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,gerenciapla@gmail.com,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,ESTRADA DOS REMÉDIOS,DE 2058/2059 AO FIM,,MADALENA,RECIFE,PE,PERNAMBUCO,NORDESTE,81
604,2611600000604,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 169 POLICLINICA AMAURY COUTINHO,,,M,,,,,4,4,52121030,RUA IGUATU,S/N,CAMPINA DO BARRETO,3355-7878/7879/7889,"-8,0163644","-34,8825373",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,amaurycoutinhodir@gmail.com,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA IGUATU,,,CAMPINA DO BARRETO,RECIFE,PE,PERNAMBUCO,NORDESTE,81
612,2611600000612,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 162 POLICLINICA ALBERT SABIN,,,M,,,,,3,4,52051020,RUA CONEGO BARATA,S/N,TAMARINEIRA,(81) 33552763/2769,"-8,0295267","-34,9004764",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,gerencia.pas2019@gmail.com,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA CÔNEGO BARATA,ATÉ 510/511,,TAMARINEIRA,RECIFE,PE,PERNAMBUCO,NORDESTE,81
620,2611600000620,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 101 POLICLINICA PROF WALDEMAR DE OLIVEIRA,,,M,,,,,4,4,50100170,RUA MARQUES DO POMBAL,115,SANTO AMARO,33551402/1418/1438,"-8,056","-34,89",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,priscila_tsouza@hotmail.com,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA DO POMBAL,,,SANTO AMARO,RECIFE,PE,PERNAMBUCO,NORDESTE,81
639,2611600000639,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 106 CS PROF JOAQUIM CAVALCANTE,,,M,,,,,4,2,50721110,ESTRADA DO FORTE DO ARRAIAL NOVO DO BOM JESUS,1350,TORROES,(81) 33554425,"-8,0529601","-34,9286302",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,distsanitario4@recife.pe.gov.b,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,ESTRADA DO FORTE DO ARRAIAL NOVO DO BOM JESUS,ATÉ 1225/1226,,CORDEIRO,RECIFE,PE,PERNAMBUCO,NORDESTE,81
647,2611600000647,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 144 POLICLINICA CLEMENTINO FRAGA,,,M,,,,,4,4,52280510,RUA JAPARATUBA,260,VASCO DA GAMA,(81) 33556048-6049,"-8,01941185","-34,919800228",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,CLEMENTINOCFRAGA@GMAIL.COM,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA JAPARATUBA,,,VASCO DA GAMA,RECIFE,PE,PERNAMBUCO,NORDESTE,81
655,2611600000655,26,261160,10572048000128.0,SECRETARIA DE SAUDE,HOSPITAL DA RESTAURACAO,,,E,,,,,3,5,52010040,AV AGAMENON MAGALHAES,S/N,DERBY,(81)31815444,"-8,0535038573","-34,8977762461",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",10572048000209.0,hrdiger@gmail.com,1023,"1,0","0,0","0,0","1,0","1,0","1,0",,SIM,AVENIDA GOVERNADOR AGAMENON MAGALHÃES,DE 2 A 99998 - LADO PAR,,DERBY,RECIFE,PE,PERNAMBUCO,NORDESTE,81
663,2611600000663,26,261160,24134488000108.0,UNIVERSIDADE FEDERAL DE PERNAMBUCO,CEO UFPE,,,M,,,,,1,36,50740345,TRAV PROFESSOR ARTHUR DE SA,S/N,CIDADE UNIVERSITARIA,(81)32718341,"-8,0627625698","-34,885548",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1104,"1,0","0,0","0,0","1,0","1,0","0,0",,SIM,TRAVESSA PROFESSOR ARTUR DE SÁ,,,VÁRZEA,RECIFE,PE,PERNAMBUCO,NORDESTE,81
671,2611600000671,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 153 POLICLINICA E MATERNIDADE ARNALDO MARQUES,,,M,,,,,4,5,51230000,AV DOIS RIOS,S/N,IBURA,33551815/1815/1820,"-8,109099","-34,9354",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,pemarnaldomarques@yahoo.com.br,1244,"1,0","1,0","1,0","1,0","1,0","1,0",,SIM,AVENIDA DOIS RIOS,ATÉ 1598/1599,,IBURA,RECIFE,PE,PERNAMBUCO,NORDESTE,81
701,2611600000701,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 165 MATERNIDADE BANDEIRA FILHO,,,M,,,,,4,7,50770400,RUA LONDRINA,S/N,AFOGADOS,8133552230/2205,"-8,07912","-34,9105",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,mpb.filho@outlouk.com,1244,"1,0","1,0","1,0","1,0","1,0","1,0",,SIM,RUA LONDRINA,,,AFOGADOS,RECIFE,PE,PERNAMBUCO,NORDESTE,81
752,2611600000752,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 119 CAPS INFANTIL MARCELA LUCENA,,,M,,,,,4,70,51110380,RUA MARQUES DE ALEGRETE,S/N,PINA,(81) 33554428,"-8,0862398","-34,8906333",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,NAO,RUA MARQUÊS DE ALEGRETE,,,PINA,RECIFE,PE,PERNAMBUCO,NORDESTE,81
760,2611600000760,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 161 CS PROF ROMERO MARQUES,,,M,,,,,4,2,50751130,RUA CARLOS GOMES,932,BONGI,(81) 33554440/4264,"-7,7297","-34,8388",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA CARLOS GOMES,DE 752/753 AO FIM,,BONGI,RECIFE,PE,PERNAMBUCO,NORDESTE,81
779,2611600000779,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 143 LABORATORIO MUNICIPAL DO RECIFE,,,M,,,,,4,80,50100070,RUA MAJOR CODECEIRA,194,SANTO AMARO,(81) 3355-2022,"-8,0485786","-34,8888724",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,sandra.b.brito@hotmail.com,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA MAJOR CODECEIRA,,,SANTO AMARO,RECIFE,PE,PERNAMBUCO,NORDESTE,81
795,2611600000795,26,261160,,CLINICA OFTALMOLOGICA DE PERNAMBUCO,CLINOPE,,,M,,,,,4,36,50060140,AV MANOEL BORBA,237,BOA VISTA,(81)32024890/4860,"-8,0609812","-34,8878511398",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",35315993000337.0,felipegw@hotmail.com,2062,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,AVENIDA MANOEL BORBA,ATÉ 166/167,,BOA VISTA,RECIFE,PE,PERNAMBUCO,NORDESTE,81
809,2611600000809,26,261160,10564953000136.0,FUNDACAO DE HEMATOLOGIA E HEMOTERAPIA DE PERNAMBUCO,FUNDACAO HEMOPE,,,E,,,,,3,7,52010300,RUA JOAQUIM NABUCO,171,GRACAS,(81)3824695,"-8,0525982435","-34,8979559541",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,sahc@hemope.pe.gov.br,1147,"1,0","0,0","0,0","1,0","1,0","1,0",,SIM,RUA JOAQUIM NABUCO,LADO ÍMPAR,,DERBY,RECIFE,PE,PERNAMBUCO,NORDESTE,81
817,2611600000817,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 149 USF MAIS OLINTO OLIVEIRA,,,M,,,,,4,2,50800270,RUA SAO FRANCISCO DE PAULA,47,CAXANGA,(81) 34549229,"-8,03067755","-34,9558032916",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,distsanitario4@recife.gov.br,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA SÃO FRANCISCO DE PAULA,,,CAXANGÁ,RECIFE,PE,PERNAMBUCO,NORDESTE,81
825,2611600000825,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 155 CS PROF MONTEIRO DE MORAIS,,,M,,,,,4,2,52130000,AV BEBERIBE,4510,BEBERIBE,(81) 33554436,"-8,004053","-34,8968266594",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,AVENIDA BEBERIBE,DE 1873/1874 A 2305/2306,,ÁGUA FRIA,RECIFE,PE,PERNAMBUCO,NORDESTE,81
833,2611600000833,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 137 CS PROF DJAIR BRINDEIRO,,,M,,,,,4,2,51030640,RUA COSMORAMA,S/N,BOA VIAGEM,(81) 33550118/0119,"-8,1402156","-34,9107984",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,distsanitario6@recife.pe.gov.b,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA ARTHUR BRUNO SCHWAMBACH,ATÉ 394/395,,BOA VIAGEM,RECIFE,PE,PERNAMBUCO,NORDESTE,81
841,2611600000841,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 150 CS PROFESSOR FERNANDES FIGUEIRAS,,,M,,,,,4,2,50910250,AV SAO PAULO,605,JARDIM SAO PAULO,(81) 33554396,"-8,0811832","-34,9403075",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,AVENIDA SÃO PAULO,DE 488/489 AO FIM,,JARDIM SÃO PAULO,RECIFE,PE,PERNAMBUCO,NORDESTE,81
868,2611600000868,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 142 USF MAIS BIDU KRAUSE,,,M,,,,,4,2,50030903,AVENIDA ONZE DE AGOSTO,440,TOTO,(81)33550301/0300,"-8,0791619","-34,9707953237",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,CAIS DO APOLO,925,PREFEITURA DA CIDADE DO RECIFE,RECIFE,RECIFE,PE,PERNAMBUCO,NORDESTE,81
876,2611600000876,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 138 USF DR LUIZ WILSOM,,,M,,,,,4,2,52211130,RUA CHA DE ALEGRIA,S/N,BOMBA DO HEMETERIO,(81) 33554628,"-8,0207812","-34,9047297",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA CHÃ DE ALEGRIA,,,BOMBA DO HEMETÉRIO,RECIFE,PE,PERNAMBUCO,NORDESTE,81
884,2611600000884,26,261160,,PRONTO CLINICA OFTALMOLOGICA LTDA,PCO,,,M,,,,,4,36,50050911,PRACA OSWALDO CRUZ,341,BOA VISTA,(81) 3423-4454,"-8,0551321","-34,8915901923",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,10455350000104.0,pcoftalmo@ig.com.br,2062,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,PRAÇA OSWALDO CRUZ,S/N,SECRETARIA DE SAÚDE DO ESTADO DE PERNAMBUCO,BOA VISTA,RECIFE,PE,PERNAMBUCO,NORDESTE,81
892,2611600000892,26,261160,,LABORATORIOS INTEGRADOS DE ANALISES CLINICAS LTDA,LIAC,,,M,,,,,4,39,50050200,RUA JOAO FERNANDES VIEIRA,675,BOA VISTA,(813231-3175,,,4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",11198785000175.0,,2000,,,,,"1,0","0,0",4.0,SIM,,,,,,,,,
906,2611600000906,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 321 CENTRAL DE ALERGOLOGIA,,,M,,,,,4,36,50100020,AV JOAO DE BARROS,800,SANTO AMARO,(81) 33552512/2508,"-8,04757425","-34,8895151309",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,alergologia.gp.ds1@bol.com.br,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,AVENIDA JOÃO DE BARROS,DE 540 A 978 - LADO PAR,,SANTO AMARO,RECIFE,PE,PERNAMBUCO,NORDESTE,81
930,2611600000930,26,261160,10565000000192.0,FUNDO MUNICIPAL DE SAUDE,US 164 CENTRO DE REIDRATACAO E URG PED M CRAVO GAMA,,,M,,,,,4,7,50870901,AVENIDA RECIFE,810,ESTANCIA,(81) 33556651/6652,"-8,0627687","-34,887867",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,cravogama@hotmail.com,1244,"0,0","0,0","0,0","0,0","1,0","1,0",,NAO,AVENIDA RECIFE,801,PAM-7 HOSPITAL GERAL DE AREIAS,AREIAS,RECIFE,PE,PERNAMBUCO,NORDESTE,81
949,3205300000949,32,320530,,ORAL CONCEPT LTDA,ORAL CONCEPT,,,M,,,,,4,36,29055260,RUA ALEIXO NETTO,454,PRAIA DO CANTO,27 - 32224747,"-20,3029607","-40,297155",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,32959511000121.0,francinegamamartins@gmail.com,2062,"0,0","0,0","0,0","0,0","1,0","0,0",,NAO,RUA ALEIXO NETTO,DE 420 AO FIM - LADO PAR,,PRAIA DO CANTO,VITÓRIA,ES,ESPÍRITO SANTO,SUDESTE,27
957,2611600000957,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 174 USF MAIS SITIO GRANDE,,,M,,,,,4,2,51180260,AV LUXEMBURGO,254,IMBIRIBEIRA,33556685/3472-3007,"-8,1025816","-34,9119688",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,distsanitario6@recife.pe.gov.br,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,AVENIDA LUXEMBURGO,,,IMBIRIBEIRA,RECIFE,PE,PERNAMBUCO,NORDESTE,81
965,2611600000965,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 177 USF CHICO MENDES,,,M,,,,,4,2,50875250,RUA DO CAMPO,29,AREIAS,(81) 32322538,"-8,1235427","-34,9539793",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA DO CAMPO,,,CAÇOTE,RECIFE,PE,PERNAMBUCO,NORDESTE,81
973,1302600000973,13,130260,,CAMILA BANDEIRA SERVICOS MEDICOS LTDA,ENDOCLINIC,,,E,,,,,4,4,69050010,DJALMA BATISTA,1719,CHAPADA,92 84109942,"-3,0914355","-60,0242362",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",19898440000136.0,CONTATO.ENDOCLINIC@GMAIL.COM,2062,"0,0","0,0","0,0","0,0","1,0","0,0",,NAO,AVENIDA DJALMA BATISTA,DE 1/2 AO FIM,,CHAPADA,MANAUS,AM,AMAZONAS,NORTE,92
981,2611600000981,26,261160,10572048000128.0,SECRETARIA DE SAUDE,HOSPITAL CORREIA PICANCO,,,E,,,,,4,5,52050150,RUA PADRE ROMA,149,TAMARINEIRA,(81)31843980,"-8,033811","-34,904742",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",9794975002238.0,hospcp@saude.pe.gov.br,1147,"0,0","0,0","0,0","1,0","1,0","1,0",,SIM,RUA PADRE ROMA,ATÉ 429/430,,TAMARINEIRA,RECIFE,PE,PERNAMBUCO,NORDESTE,81
1015,2611600001015,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 163 HOSPITAL DE PEDIATRIA HELENA MOURA,,,M,,,,,4,7,52051020,RUA CONEGO BARATA,S/N,TAMARINEIRA,33551301/1303,"-8,0232145555","-34,82365",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,HOSPITALPEDHELENAMOURA@HOTMAIL.COM,1244,"0,0","0,0","1,0","1,0","1,0","1,0",,SIM,RUA CÔNEGO BARATA,ATÉ 510/511,,TAMARINEIRA,RECIFE,PE,PERNAMBUCO,NORDESTE,81
1023,2611600001023,26,261160,,INSTITUTO DE RADIUM E SUPERVOLTAGEM IVO ROESLER,IRSIR,,,E,,,,,4,39,52010010,AV PORTUGAL,163,BOA VISTA,(81)34237755,"-8,0352136","-34,9862299",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,11387412000142.0,,2062,"0,0","0,0","0,0","0,0","1,0","0,0",,NAO,AVENIDA PORTUGAL,,,PAISSANDU,RECIFE,PE,PERNAMBUCO,NORDESTE,81
1058,2611600001058,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 121 USF MAIS PROFESSOR BRUNO MAIA,,,M,,,,,4,2,52191098,RUA ALTO DO REFUGIO,S/N,NOVA DESCOBERTA,(81) 33554416,"-8,0003547","-34,924593",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA ALTO DO REFÚGIO,LADO ÍMPAR,,BREJO DE BEBERIBE,RECIFE,PE,PERNAMBUCO,NORDESTE,81
1082,2611600001082,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 104 CS SEBASTIAO IVO RABELO,,,M,,,,,4,2,51290040,AV CAMPINA GRANDE,S/N,COHAB,(81) 33554444/4445,"-8,1196345","-34,947237",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,distsanitario6@recife.pe.gov.b,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,AVENIDA CAMPINA GRANDE,,,COHAB,RECIFE,PE,PERNAMBUCO,NORDESTE,81
1090,2611600001090,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 126 CS VER ROMILDO GOMES,,,M,,,,,4,2,51150460,RUA JALISCO,S/N,IMBIRIBEIRA,(81) 33554448/4449,"-8,1163765","-34,9119753",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,distsanitario6@recife.pe.gov.b,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA JALISCO,,,IMBIRIBEIRA,RECIFE,PE,PERNAMBUCO,NORDESTE,81
1112,2611600001112,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 186 USF MAIS JARDIM UCHOA,,,M,,,,,4,2,50780280,RUA JUPIRACY,S/N,AREIAS,(81) 33556211,"-8,0545","-34,881",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,,1244,"0,0","0,0","0,0","0,0","0,0","0,0",,SIM,RUA JUPIRACY,,,AREIAS,RECIFE,PE,PERNAMBUCO,NORDESTE,81
1120,2611600001120,26,261160,,REAL HOSPITAL PORTUGUES DE BENEFICIENCIA EM PE,REAL HOSPITAL PORTUGUES,,,D,,,,,3,5,52010902,AV GOVERNADOR AGAMENON MAGALHAES,4760,PAISSANDU,(81)34161122,"-8,0638166937","-34,8981893063",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",10892164000124.0,provedoria@rhp.com.br,3999,"1,0","1,0","1,0","1,0","1,0","1,0",,SIM,AVENIDA GOVERNADOR AGAMENON MAGALHÃES,4760,HOSPITAL PORTUGUÊS,DERBY,RECIFE,PE,PERNAMBUCO,NORDESTE,81
1139,2611600001139,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 166 POLICLINICA CENTRO,,,M,,,,,4,4,50010070,RUA 1 DE MARCO,90,SANTO ANTONIO,(81) 33556703/6375,"-8,0627624","-34,888941",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,p.centro@bool.com.br,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA PRIMEIRO DE MARÇO,,,SANTO ANTÔNIO,RECIFE,PE,PERNAMBUCO,NORDESTE,81
1147,2611600001147,26,261160,,LABORATORIO DE ANALISES CLINICAS LOUIS PASTEUR LTDA,LABORATORIO DE ANALISES CLINICAS LOUIS PASTEUR,,,M,,,,,4,39,50050540,AV VISCONDE DE SUASSUNA,704,SANTO AMARO,(81) 3231-6960,"-8,0512549","-34,8877605494",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,11534534000114.0,laclouispasteur@hotmail.com,2240,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,AVENIDA VISCONDE DE SUASSUNA,,,SANTO AMARO,RECIFE,PE,PERNAMBUCO,NORDESTE,81
1155,2611600001155,26,261160,24416174000106.0,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,DEPARTAMENTO DE QUALIDADE DE VIDA,,,M,,,,,4,36,52171030,RUA MANUEL DE MEDEIROS,S/N,DOIS IRMAOS,(81) 33206156-332061,"-8,0207371","-34,9551836",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,dqv.sugep@ufrpe.br,1104,"0,0","0,0","0,0","0,0","1,0","0,0",8.0,NAO,RUA MANUEL DE MEDEIROS,,,DOIS IRMÃOS,RECIFE,PE,PERNAMBUCO,NORDESTE,81
1163,2611600001163,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 109 CS FRANCISCO PIGNATARI,,,M,,,,,3,2,52070000,ESTRADA DO ARRAIAL,S/N,CASA AMARELA,(81) 33554400,"-8,0283636","-34,9209187",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,ESTRADA DO ENCANAMENTO,DE 475/476 A 1243/1244,,CASA FORTE,RECIFE,PE,PERNAMBUCO,NORDESTE,81
1198,2611600001198,26,261160,10565000000192.0,MUNICIPIO DO RECIFE,US 113 CS DR ARISTARCHO DOURADO DE AZEVEDO,,,M,,,,,4,2,51250370,RUA BAHIA,29,JORDAO BAIXO,(81) 33554381,"-8,1330309","-34,9364028",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,distsanitario6@recife.pe.gov.b,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA BAHIA,,,JORDÃO,RECIFE,PE,PERNAMBUCO,NORDESTE,81
1201,2931350001201,29,293135,13650403000128.0,MUNICIPIO DE TEIXEIRAD E FREITAS,PSF RESIDENCIAL CASTELINHO,,,M,,,,,4,2,45999000,RUA,,RESIDENCIAL CASTELIN,,"-17,5532395885","-39,7175717354",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","0,0","0,0",,SIM,,,,CACHOEIRA DO MATO,TEIXEIRA DE FREITAS,BA,BAHIA,NORDESTE,73
